2024/06/15 (12:18:33) | INFO: Quitting! Runtime: 00:02:53

2024/06/15 (12:18:39) | ===> btop++ v.1.3.2
2024/06/15 (12:18:39) | INFO: Logger set to DEBUG
2024/06/15 (12:18:39) | DEBUG: Using locale en_US.UTF-8
2024/06/15 (12:18:39) | INFO: Running on /dev/pts/3
2024/06/15 (12:18:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/15 (12:18:39) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/15 (12:18:39) | DEBUG: Shared::init() : Initialized.
2024/06/15 (12:18:39) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2024/06/15 (12:18:42) | DEBUG: Writing new config file
2024/06/15 (12:18:42) | INFO: Quitting! Runtime: 00:00:03
